,,,,,,
,,,,,,
Programme code Chorus,Programme,Ministère,Programmes,Circulaire O/N,Déployé ?,Niveau maille axe services déployé
0206,206,MAA,Sécurité et qualité sanitaires de l'alimentation ,Non,Non,
0215,215,MAA,Conduite et pilote des politiques de l'agriculture,Oui,Oui,Maille large
0105,105,MEA,Action de la France en Europe et dans le monde,Oui,Oui,Maillle moyenne
0151,151,MEA,Français à l'étranger et affaires consulaires,Non,Non,
0111,111,MCAS,Amélioration de la qualité de l'emploi et des relations du travail ,Non,Non,
0124,124,MCAS,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeune et de la vie associative",Oui,Oui,Maille moyenne et fine
0155,155,MCAS,"Conception, gestion et évaluation des politiques de l'emploi et du travail",Oui,Oui,Maille moyenne et fine
0175,175,MCC,Patrimoines,Non,Non,
0224,224,MCC,Transmission des savoirs et démocratisation de la culture,Oui,Oui,Maille large
0203,203,MTES,Infrastructures et services de transport,Oui,Non,
0205,205,MTES,Sécurité et affaires maritime,Oui,Non,
0217,217,MTES,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",Oui,Oui,Maille moyenne
0156,156,MEF,Gestion fiscale et financière de l'Etat et du SPL,Oui,Oui,Maille large moyenne et fine
0134,134,MEF,Développement des entreprises et du tourisme,Non,Non,
0218,218,MEF,Conduite et pilotage des politiques économiques et financières ,Oui,Non,
0220,220,MEF,Statistiques et études économiques,Oui,Non,
0302,302,MEF,Facilitation et sécurisation des échanges,Oui,non,
0305,305,MEF,Stratégie économique et fiscale,Non,Non,
0140,140,MEN,Enseignement scolaire public du premier degré,Non,Non,
0141,141,MEN,Enseignement scolaire public du second degré,Non,Non,
0150,150,MEN,Formations supérieures et recherche universitaire,Non,Non,
0214,214,MEN,Soutien de la politique de l'éducation nationale,Oui,Oui,Maille moyenne et fine
0230,230,MEN,Vie de l'élève,Non,Non,
0122,122,MI,Concours spécifiques et administration,Non,Non,
0152,152,MI,Gendarmerie nationale,Oui,Oui,Maille large
0161,161,MI,Sécurité civile,Oui,Oui,Maille moyenne et fine
0176,176,MI,Police nationale,Oui,Oui,Maille large
0207,207,MI,Sécurité et éducation routières,Non,Non,
0216,216,MI,Conduite et pilotage des politiques de l'Intérieur,Oui,Oui,Maille large
0232,232,MI,"Vie politique, cultuelle et associative",Non,Non,
0303,303,MI,Immigration et asile,Oui,Oui,Maille moyenne
0307,307,MI,Administration Territoriale,Oui,Oui,Maille large
0751,751,MI,Structures et dispositifs de sécurité routière,Oui,Oui,Maille large
0212,212,MA,Soutien de la politique de la défense,Oui,Oui,Maille moyenne et fine
0107,107,MINJU,Administration pénitentiaire,Oui,Non,
0166,166,MINJU,Justice judiciaire,Oui,Non,
0182,182,MINJU,Protection judiciaire de la jeunesse,Non,Non,
0310,310,MINJU,Conduite et pilotage de la politique de la justice,Oui,Oui,Maille moyenne et fine
0129,129,SPM,Coordination du travail gouvernemental,Oui,Oui,Maille moyenne
0333,333,SPM,Moyens mutualisés des administrations déconcentrées,Oui,Non,
,,,,,,
,,,"A noter : 752, 762 et 221 ont été supprimés",,,
